userID,itemID,rating,SnackName,SnackType
1,3342,5,Pretzels,dinner
1,7522,1,Burgers,breakfast
1,25363,2,Waffles,lunch
1,38997,5,Cookies,evening munching
1,43685,1,Wraps,dinner
1,45488,4,Burgers,lunch
1,62770,3,Pretzels,lunch
1,109450,3,Wraps,lunch
1,122506,3,Wraps,evening munching
1,130621,5,Wraps,dinner
2,10438,3,Cookies,brunch
2,31025,3,Pringles,dinner
2,61247,4,Burgers,breakfast
2,61525,3,Sandwiches,evening munching
2,72465,4,Pringles,brunch
2,89124,2,Cookies,brunch
2,126946,3,Pringles,breakfast
2,127254,5,Pretzels,brunch
2,132216,2,Cheerios,breakfast
2,134626,2,Wraps,brunch
3,1666,1,Pringles,lunch
3,20977,3,Sandwiches,lunch
3,32861,1,Cookies,dinner
3,36412,1,Pringles,lunch
3,51490,5,Wraps,dinner
3,51664,2,Cookies,evening munching
3,58567,4,Waffles,evening munching
3,86558,1,Sandwiches,breakfast
3,96136,4,Waffles,evening munching
3,102937,5,Cheerios,evening munching
4,1539,5,Burgers,lunch
4,70128,3,Wraps,breakfast
4,74190,2,Wraps,lunch
4,81560,1,Pringles,dinner
4,91266,1,Waffles,brunch
4,95525,5,Pringles,breakfast
4,95927,3,Wraps,dinner
4,113793,1,Waffles,lunch
4,125003,1,Pretzels,evening munching
4,128803,3,Cheerios,breakfast
5,8063,2,Wraps,dinner
5,24427,4,Cheerios,evening munching
5,39231,3,Pretzels,lunch
5,95898,3,Cheerios,lunch
5,98571,3,Sandwiches,dinner
5,105433,4,Waffles,lunch
5,128621,4,Waffles,dinner
5,130850,3,Burgers,evening munching
5,131629,5,Wraps,lunch
5,133967,4,Wraps,lunch
6,2323,4,Cheerios,evening munching
6,18878,4,Cookies,brunch
6,21675,5,Pringles,brunch
6,63178,3,Waffles,lunch
6,78019,2,Cheerios,dinner
6,79425,5,Cookies,lunch
6,79977,4,Burgers,dinner
6,102020,5,Cheerios,lunch
6,104793,1,Cheerios,lunch
6,110674,5,Cheerios,lunch
