,userID,itemID,prediction
0,171,31784,3.482
1,330,51264,3.482
2,217,17408,3.482
3,114,60994,3.482
4,99,103291,3.482
5,255,135358,3.482
6,20,51936,3.7905110476622643
7,306,113069,3.482
8,325,88783,3.483987806030926
9,140,33101,3.482
10,264,112023,3.864715823304791
11,77,97799,3.482
12,471,67448,3.482
13,310,13827,3.482
14,350,59455,3.482
15,322,95682,3.482
16,29,71531,3.5543849040816697
17,494,129398,4.017807801214037
18,43,134189,3.482
19,445,108323,3.5559063820758285
20,234,37966,3.482
21,272,83421,3.482
22,208,125674,4.0039284752807145
23,339,128213,3.482
24,73,27223,3.482
25,96,34580,3.482
26,439,57760,3.482
27,437,83446,3.482
28,227,18279,3.482
29,99,120880,2.621848028875854
30,322,73252,3.482
31,176,136270,3.482
32,458,134522,3.482
33,33,90915,3.734450587199309
34,261,101505,3.482
35,139,27636,3.482
36,173,57651,3.482
37,109,92881,2.77002211087322
38,253,44084,3.482
39,35,14188,3.6663202726664825
40,371,33572,3.482
41,15,92459,3.482
42,69,1666,3.208016686288062
43,344,60994,3.482
44,111,95463,3.482
45,85,93719,3.482
46,97,75443,3.4342911416902946
47,473,91987,3.3324461825680682
48,150,37249,3.482
49,396,49904,2.1865396143320086
50,221,45531,3.482
51,272,41097,3.5177903637777304
52,67,26850,3.482
53,101,62332,3.482
54,7,48211,3.482
55,29,62805,3.482
56,223,44286,3.482
57,471,101806,3.482
58,188,130858,3.482
59,358,54776,3.4450380296517467
60,486,117478,3.4570194849710507
61,121,77476,3.481253506624008
62,200,24516,3.482
63,3,51490,3.482
64,486,46488,3.482
65,411,21683,3.482
66,417,114848,3.482
67,77,60568,3.482
68,88,94141,3.482
69,475,24107,3.482
70,94,114597,3.482
71,269,106958,3.482
72,361,8562,3.482
73,240,62526,3.0365849521179435
74,457,115183,3.482
75,499,7584,3.482
76,413,20977,4.533615083069998
77,457,90835,3.482
78,39,77516,3.482
79,388,91874,3.482
80,438,996,3.2906519259202893
81,457,126188,3.7754834363590035
82,54,37249,3.482
83,230,14425,3.482
84,467,56660,2.05290111964211
85,388,70216,3.482
86,94,92523,3.482
87,374,20977,3.7681634912808475
88,473,102784,5.0528045917850894
89,237,25449,3.482
90,351,94023,3.482
91,21,38997,2.959435370026229
92,321,124101,3.482
93,134,52379,3.482
94,302,109022,3.482
95,351,23772,3.482
96,271,106848,3.482
97,403,50016,3.482
98,186,86493,3.482
99,447,117186,3.482
100,288,56680,3.6854644455677574
101,304,5232,3.482
102,121,94305,3.482
103,165,97525,3.482
104,342,81524,3.482
105,348,35533,3.5647718522847973
106,287,3329,3.482
107,180,43337,3.482
108,380,89742,3.482
109,337,108555,3.482
110,337,82846,3.482
111,354,16390,3.482
112,345,134875,3.482
113,61,65816,3.482
114,306,108396,3.482
115,454,48532,3.482
116,13,67755,3.482
117,388,90972,3.482
118,294,46220,3.482
119,354,2596,3.4208683502656676
120,274,4071,3.482
121,83,124048,3.482
122,164,127725,3.482
123,99,89164,3.482
124,329,21255,4.170701662586956
125,498,50918,3.482
126,219,106958,3.482
127,462,18316,3.482
128,245,42319,3.482
129,37,14435,3.482
130,235,84934,3.482
131,35,59960,3.482
132,82,39847,3.482
133,321,101107,3.482
134,417,9803,3.482
135,480,73622,2.9371721476263146
136,333,72288,3.482
137,411,38997,4.349039702834288
138,212,83894,3.482
139,184,76071,5.184039189181967
140,80,55622,2.8442806457824092
141,495,25363,0.778055603824531
142,268,64586,3.482
143,10,49147,3.482
144,376,90973,3.482
145,290,30173,4.415606259204922
146,238,13859,3.6784358978817315
147,415,136076,3.646530165817356
148,444,23216,3.4145168008632973
149,323,114199,3.482
150,286,11759,3.482
151,292,50666,3.482
152,187,62419,2.471474588920268
153,186,98558,3.482
154,265,87805,3.482
155,225,22333,3.482
156,234,102152,3.482
157,96,1395,3.7066310197493584
158,307,83766,3.482
159,113,2798,3.482
160,260,86524,3.482
161,221,47015,3.482
162,42,134785,3.482
163,93,62345,3.482
164,126,82156,3.5125759193951485
165,48,111709,3.482
166,204,38993,3.482
167,121,28392,3.482
168,263,87092,3.482
169,482,91192,3.482
170,198,783,3.482
171,312,545,3.6691938921848712
172,402,114458,3.482
173,216,31095,4.666902469008549
174,369,78473,3.482
175,200,103028,3.5117678858694594
176,404,57897,3.482
177,306,92097,3.482
178,125,113032,3.482
179,220,47135,3.482
180,272,23410,3.482
181,100,9227,3.482
182,220,20149,3.482
183,377,42316,3.482
184,360,109656,3.482
185,132,99741,3.482
186,187,40287,3.482
187,235,27562,2.925652041981545
188,245,122285,3.482
189,214,89960,3.482
190,107,79323,3.5812160759504006
191,497,126946,5.973059734687778
192,263,23622,3.482
193,8,80895,3.482
194,290,119860,3.482
195,132,31050,3.482
196,438,23767,3.482
197,88,33164,3.482
198,386,15499,3.482
199,479,111706,3.482
200,297,85378,3.482
201,340,6314,3.482
202,257,7584,3.482
203,490,61062,3.482
204,264,75359,3.482
205,354,545,3.110724964283262
206,38,88202,3.482
207,191,120268,3.482
208,434,62521,3.482
209,438,124832,3.75466582457679
210,403,109990,3.482
211,161,83661,3.482
212,112,130850,2.9416911423455243
213,368,122999,3.482
214,350,18526,3.482
215,487,42076,3.378986771653637
216,296,85951,3.482
217,200,77871,4.698614951119899
218,496,31025,4.4067968587306385
219,436,67359,3.482
220,238,120423,3.482
221,135,42109,2.3747837584846434
222,33,32861,1.5612322951783368
223,162,129319,2.692243637518632
224,372,26506,3.482
225,207,19062,3.482
226,222,104900,3.482
227,168,45059,3.9861826003393963
228,27,13683,3.482
229,442,114523,3.482
230,204,136716,3.482
231,91,28056,3.482
232,375,52573,3.6974760027441365
233,203,86554,3.482
234,192,112564,3.482
